Element,Description,Req,Min Length,Max Length,Type
DMG01,Date Time Period Format Qualifier,C,2,3,ID
DMG02,Date Time Period,C,1,35,AN
DMG03,Gender Code,O,1,1,ID
DMG04,Marital Status Code,O,1,1,ID
DMG05,Race Or Ethnicity Code,C,1,1,ID
DMG06,Code List Qualifier Code,C,1,3,ID
DMG07,Industry Code,C,1,30,AN
DMG08,Citizenship Status Code,O,1,2,ID
DMG09,Country Code,O,2,3,lD
DMG10,Basis Of Verification Code,O,1,2,ID
DMG11,Quantity,O,1,15,R
DMG12,Code List Qualifier Code,C,1,3,ID
DMG13,Industry Code,C,1,30,AN
